City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
531,birao,10.2849,22.7882,29.55,32,63,2.49,CF,1681854935
532,karratha,-20.7377,116.8463,22.57,35,5,5.4,AU,1681854935
533,saint george,37.1041,-113.5841,24.58,11,0,8.23,US,1681854936
534,fray luis beltran,-39.3167,-65.7667,16.73,42,100,2.65,AR,1681854936
535,pointe aux piments,-20.0628,57.5131,26.4,77,17,6.33,MU,1681854936
536,paka,4.6374,103.4368,24.96,100,27,0.0,MY,1681854936
537,pacific grove,36.6177,-121.9166,16.33,57,0,5.66,US,1681854937
538,kangding,30.0513,101.9603,9.5,85,34,2.06,CN,1681854937
539,champerico,14.3,-91.9167,27.3,60,35,5.14,GT,1681854937
540,oistins,13.0667,-59.5333,27.05,74,40,6.69,BB,1681854937
541,merizo village,13.2658,144.6691,27.77,82,47,9.49,GU,1681854937
542,coeur d'alene,47.6777,-116.7805,9.41,52,100,2.68,US,1681854938
543,dzhankoy,45.7167,34.4,9.25,94,63,4.06,UA,1681854938
544,castillos,-34.1667,-53.8333,12.53,66,21,4.7,UY,1681854938
545,la tuque,47.4334,-72.7824,6.14,70,100,2.57,CA,1681854939
546,belozersk,60.0326,37.7957,0.1,97,61,2.47,RU,1681854939
547,dul'durga,50.6761,113.5931,0.81,41,100,1.35,RU,1681854939
548,syktyvkar,61.6764,50.8099,1.85,51,0,2.0,RU,1681854940
549,gombong,-7.6072,109.5142,24.75,92,48,1.38,ID,1681854940
550,gamla uppsala,59.8969,17.6361,3.43,80,26,3.09,SE,1681854940
551,freetown,8.484,-13.2299,26.84,83,40,4.63,SL,1681854940
552,porto seguro,-16.4497,-39.0647,27.29,83,0,5.14,BR,1681854941
553,chicoana,-25.1009,-65.5331,19.03,70,17,1.76,AR,1681854941
554,corbelia,-24.7989,-53.3067,20.64,80,87,2.34,BR,1681854941
555,tres lagoas,-20.7511,-51.6783,22.95,94,97,3.81,BR,1681854941
556,egilsstadir,65.2653,-14.3948,8.95,81,40,1.54,IS,1681854942
557,kuanda,56.3161,116.0806,-8.96,86,78,0.57,RU,1681854942
558,gaspar,-26.9314,-48.9589,21.69,96,97,0.91,BR,1681854942
559,juegang,32.3174,121.1855,14.03,98,100,2.64,CN,1681854942
560,aral,40.5156,81.2636,13.08,18,100,8.78,CN,1681854943
561,yantzaza,-3.8278,-78.7594,23.71,89,100,0.56,EC,1681854943
562,minas de marcona,-15.2119,-75.1103,17.91,70,75,8.27,PE,1681854943
563,zaozhuang,34.8647,117.5542,12.7,78,37,3.03,CN,1681854944
564,kristiansund,63.1115,7.732,8.03,61,83,1.54,NO,1681854944
565,orel,52.9658,36.0803,8.83,59,100,2.88,RU,1681854944
566,hyesan,41.4017,128.1778,5.04,52,23,0.76,KP,1681854944
567,rucar,45.4,25.1667,5.8,96,100,0.44,RO,1681854945
568,okondja,-0.6549,13.6753,23.81,83,15,0.65,GA,1681854945
